group,rank,recommended,taxon_id,common_name,scientific_name,countries_with_records,observation_count,review_note
mammals,34,yes,925661,Northern Small-spotted Genet,Genetta genetta,1,1246,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,35,yes,41796,Eurasian Pine Marten,Martes martes,1,1223,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,36,yes,44705,House Mouse,Mus musculus,1,1213,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,37,yes,41526,Common Dolphin,Delphinus delphis,1,1203,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,38,yes,40645,Greater Horseshoe Bat,Rhinolophus ferrumequinum,1,1094,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,39,yes,43119,Granada Hare,Lepus granatensis,1,1078,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,40,exclude,209233,Domestic Horse,Equus caballus,1,1003,Domestic horse; not a wildlife collection entry.
mammals,41,yes,46241,Barbary Ground Squirrel,Atlantoxerus getulus,1,850,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,42,yes,41975,Iberian Lynx,Lynx pardinus,1,813,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,43,yes,43793,Eurasian Beaver,Castor fiber,1,710,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,44,yes,569428,Least Weasel,Mustela nivalis,1,675,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,45,yes,41503,Atlantic Spotted Dolphin,Stenella frontalis,1,660,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,46,yes,40364,Common Pipistrelle,Pipistrellus pipistrellus,1,645,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,47,yes,41900,Egyptian Mongoose,Herpestes ichneumon,1,617,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,48,yes,41532,Short-finned Pilot Whale,Globicephala macrorhynchus,1,608,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,49,yes,765528,Savi's Pipistrelle,Hypsugo savii,1,608,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,50,exclude,47144,Domestic Dog,Canis familiaris,1,587,Domestic dog; not a wildlife collection entry.
mammals,51,yes,43059,North African Hedgehog,Atelerix algirus,1,495,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,52,yes,852333,Pygmy White-toothed Shrew,Suncus etruscus,1,476,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,53,yes,1264432,American Mink,Neogale vison,1,474,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,54,yes,45863,European Garden Dormouse,Eliomys quercinus,1,471,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,55,yes,922459,European Wildcat,Felis silvestris,1,463,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,56,yes,40383,Kuhl's pipistrelle,Pipistrellus kuhlii,1,447,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,57,yes,41812,Western Polecat,Mustela putorius,1,442,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,58,yes,45856,Hazel Dormouse,Muscardinus avellanarius,1,435,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,59,yes,41641,Brown Bear,Ursus arctos,1,435,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,60,yes,74890,Sperm Whale,Physeter macrocephalus,1,382,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,61,yes,57534,Schreibers' Long-fingered Bat,Miniopterus schreibersii,1,372,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,62,yes,1431273,Bank Vole,Clethrionomys glareolus,1,363,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,63,exclude,121578,Domestic Sheep,Ovis aries,1,316,Domestic sheep; not a wildlife collection entry.
mammals,64,yes,40281,Geoffroy's Bat,Myotis emarginatus,1,282,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,65,yes,41298,European Free-tailed Bat,Tadarida teniotis,1,279,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,66,yes,55908,Mountain Hare,Lepus timidus,1,262,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,67,yes,40574,Azores Noctule,Nyctalus azoreum,1,253,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,68,yes,424254,Daubenton's bat,Myotis daubentonii,1,251,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,69,yes,41716,Mediterranean Monk Seal,Monachus monachus,1,232,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,70,yes,40415,Grey Long-eared Bat,Plecotus austriacus,1,223,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,71,yes,45748,Southwestern Water Vole,Arvicola sapidus,1,220,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,72,yes,46471,Eurasian Pygmy Shrew,Sorex minutus,1,220,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,73,yes,41494,Striped Dolphin,Stenella coeruleoalba,1,210,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,74,yes,44280,Common Vole,Microtus arvalis,1,207,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,75,yes,41541,Risso's Dolphin,Grampus griseus,1,206,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,76,yes,41808,Eurasian Stoat,Mustela erminea,1,202,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,77,yes,1655578,South European White-toothed Shrew,Crocidura fimbriata,1,196,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,78,yes,42346,Pyrenean Chamois,Rupicapra pyrenaica,1,187,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,79,yes,40573,Lesser Noctule,Nyctalus leisleri,1,186,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,80,exclude,74113,Domestic Cattle,Bos taurus,1,184,Domestic cattle; not a wildlife collection entry.
mammals,81,yes,1596127,Eurasian Serotine,Cnephaeus serotinus,1,183,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,82,yes,46663,Bicoloured Shrew,Crocidura leucodon,1,182,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,83,yes,533979,Calabrian Black Squirrel,Sciurus meridionalis,1,180,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,84,yes,74908,Soprano Pipistrelle,Pipistrellus pygmaeus,1,171,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,85,yes,851014,Golden Jackal,Canis aureus,1,166,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,86,yes,44688,Algerian Mouse,Mus spretus,1,166,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,87,yes,40677,Mediterranean horseshoe bat,Rhinolophus euryale,1,158,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,88,yes,46412,Alpine Shrew,Sorex alpinus,1,144,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,89,yes,40416,Brown Long-eared Bat,Plecotus auritus,1,139,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,90,yes,42422,Aoudad,Ammotragus lervia,1,131,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,91,yes,40581,Western Barbastelle,Barbastella barbastellus,1,128,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,92,yes,43024,Long-eared Hedgehog,Hemiechinus auritus,1,125,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,93,exclude,148030,Donkey,Equus asinus,1,123,Domestic donkey; not a wildlife collection entry.
mammals,94,yes,41562,Fin Whale,Balaenoptera physalus,1,108,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,95,yes,46367,Valais Shrew,Sorex antinorii,1,106,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,96,yes,44276,Mediterranean Pine Vole,Microtus duodecimcostatus,1,101,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,97,yes,44282,Field Vole,Microtus agrestis,1,100,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,98,yes,41440,Harbour Porpoise,Phocoena phocoena,1,100,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,99,yes,1453916,Bryde's Whale,Balaenoptera brydei,1,98,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,100,yes,46414,Common Shrew,Sorex araneus,1,97,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,101,yes,40291,Mouse-eared Bat,Myotis myotis,1,93,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,102,yes,44302,Lusitanian pine vole,Microtus lusitanicus,1,92,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,103,yes,45550,Yellow-necked Field Mouse,Apodemus flavicollis,1,91,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,104,yes,45949,Finlayson's Squirrel,Callosciurus finlaysonii,1,79,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,105,yes,1370753,Aquitanian mole,Talpa aquitania,1,76,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,106,yes,40391,Nathusius' Pipistrelle,Pipistrellus nathusii,1,75,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,107,yes,46015,Caucasian Squirrel,Sciurus anomalus,1,72,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,108,yes,45568,Striped Field Mouse,Apodemus agrarius,1,69,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,109,yes,45459,European Snow Vole,Chionomys nivalis,1,68,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,110,yes,41529,Long-finned Pilot Whale,Globicephala melas,1,66,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,111,yes,41559,Sei Whale,Balaenoptera borealis,1,62,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,112,yes,43118,Broom Hare,Lepus castroviejoi,1,61,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,113,yes,1177489,Italian Water Vole,Arvicola italicus,1,55,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,114,yes,40317,Lesser mouse-eared bat,Myotis blythii,1,53,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,115,yes,46859,Eurasian Water Shrew,Neomys fodiens,1,53,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,116,yes,40572,Common Noctule,Nyctalus noctula,1,52,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,117,yes,1698425,Iberian Rabbit,Oryctolagus algirus,1,51,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,118,yes,45316,Eurasian Harvest Mouse,Micromys minutus,1,50,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,119,yes,40446,Particoloured Bat,Vespertilio murinus,1,49,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,120,yes,43143,Apennine Hare,Lepus corsicanus,1,48,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,121,yes,46037,European Ground Squirrel,Spermophilus citellus,1,47,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,122,yes,1596135,Meridional Serotine,Cnephaeus isabellinus,1,45,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,123,yes,41566,Humpback Whale,Megaptera novaeangliae,1,45,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,124,yes,81925,Domestic Water Buffalo,Bubalus bubalis,1,43,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,125,yes,43043,Southern White-breasted Hedgehog,Erinaceus concolor,1,43,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,126,yes,41663,Common Raccoon,Procyon lotor,1,42,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,127,yes,41550,Common Minke Whale,Balaenoptera acutorostrata,1,41,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,128,no,41539,False Killer Whale,Pseudorca crassidens,1,41,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,129,no,210401,Escalera's mouse-eared bat,Myotis escalerai,1,40,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,130,no,74697,Bechstein's bat,Myotis bechsteinii,1,39,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,131,no,75042,Egyptian Rousette,Rousettus aegyptiacus,1,39,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,132,no,44264,Savi's Pine Vole,Microtus savii,1,38,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,133,no,67819,European Water Vole,Arvicola amphibius,1,36,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,134,no,907291,Cryptic Myotis,Myotis crypticus,1,32,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,135,no,41553,Blue Whale,Balaenoptera musculus,1,31,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,136,no,41733,Grey Seal,Halichoerus grypus,1,31,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,137,no,40576,Giant Noctule,Nyctalus lasiopterus,1,31,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,138,no,46951,Mediterranean Mole,Talpa caeca,1,30,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,139,no,399272,Domestic Ferret,Mustela furo,1,28,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,140,no,41545,Rough-toothed Dolphin,Steno bredanensis,1,28,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,141,no,41408,Dense-beaked Whale,Mesoplodon densirostris,1,27,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,142,no,45867,Eurasian Forest Dormouse,Dryomys nitedula,1,25,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,143,no,46956,Roman Mole,Talpa romana,1,25,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,144,no,41521,Orca,Orcinus orca,1,24,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,145,no,40376,Madeira pipistrelle,Pipistrellus maderensis,1,24,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,146,no,41428,Cuvier's Beaked Whale,Ziphius cavirostris,1,24,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,147,no,45952,Pallas' Squirrel,Callosciurus erythraeus,1,23,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,148,no,925979,Small Indian Mongoose,Urva auropunctata,1,23,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,149,no,74219,North African White-toothed Shrew,Crocidura pachyura,1,20,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,150,no,46746,Sicilian Shrew,Crocidura sicula,1,19,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,151,no,855298,Southwest Asian Badger,Meles canescens,1,19,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,152,no,45763,Muskrat,Ondatra zibethicus,1,18,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,153,no,1596132,Northern Serotine,Cnephaeus nilssonii,1,17,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,154,no,1370737,Güldenstädt's shrew,Crocidura gueldenstaedtii,1,17,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,155,no,57560,Cape Hare,Lepus capensis,1,17,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,156,no,41413,North Atlantic Beaked Whale,Mesoplodon bidens,1,17,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,157,no,40284,Long-fingered Bat,Myotis capaccinii,1,17,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,158,no,40314,Whiskered Bat,Myotis mystacinus,1,17,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,159,no,45836,Eurasian Hamster,Cricetus cricetus,1,16,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,160,no,43452,Barbary Macaque,Macaca sylvanus,1,16,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,161,no,46486,Iberian Shrew,Sorex granarius,1,16,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,162,no,1696537,Wisent,Bos bonasus,1,15,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,163,no,1370695,Mediterranean Water Shrew,Neomys milleri,1,15,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,164,no,46405,Crowned Shrew,Sorex coronatus,1,15,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,165,no,74927,Mountain Long-eared Bat,Plecotus macrobullaris,1,14,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,166,no,41421,North Atlantic Bottlenose Whale,Hyperoodon ampullatus,1,13,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,167,no,41805,European Mink,Mustela lutreola,1,13,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,168,no,41979,Eurasian Lynx,Lynx lynx,1,12,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,169,no,245959,Kolombatovic's long-eared bat,Plecotus kolombatovici,1,12,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,170,no,40691,Mehely's horseshoe bat,Rhinolophus mehelyi,1,12,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,171,no,44277,Cabrera's vole,Microtus cabrerae,1,11,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,172,no,210400,Natterer's Bat,Myotis nattereri,1,11,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,173,no,74606,Calabria Pine Vole,Microtus brachycercus,1,10,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,174,no,46860,Iberian Water Shrew,Neomys anomalus,1,10,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,175,no,47041,Pyrenean Desman,Galemys pyrenaicus,1,9,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,176,no,1430921,Sicilian Pine Vole,Microtus nebrodensis,1,8,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,177,no,40673,Blasius's horseshoe bat,Rhinolophus blasii,1,8,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,178,no,520585,Siberian Chipmunk,Eutamias sibiricus,1,7,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,179,no,44273,Alpine Pine Vole,Microtus multiplex,1,7,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,180,no,74717,Felten's myotis,Myotis punicus,1,7,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,181,no,46631,Lesser White-toothed Shrew,Crocidura suaveolens,1,6,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,182,no,41464,Pygmy Sperm Whale,Kogia breviceps,1,6,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,183,no,1431862,Mediterranean Field Vole,Microtus lavernedii,1,6,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,184,no,74070,Western Broad-toothed Field Mouse,Apodemus epimelas,1,5,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,185,no,46603,Canarian Shrew,Crocidura canariensis,1,5,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,186,no,1431618,Gerbe's Vole,Microtus pyrenaicus,1,5,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,187,no,44266,European pine vole,Microtus subterraneus,1,5,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,188,no,119405,Domestic Guinea Pig,Cavia porcellus,1,4,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,189,no,44296,Thomas's pine vole,Microtus thomasi,1,4,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,190,no,44702,Mound-building Mouse,Mus spicilegus,1,4,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,191,no,74692,Alcathoe myotis,Myotis alcathoe,1,4,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,192,no,46943,Balkan Mole,Talpa stankovici,1,4,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,193,no,46260,American Red Squirrel,Tamiasciurus hudsonicus,1,4,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,194,no,41478,Grey Whale,Eschrichtius robustus,1,3,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,195,no,45936,Five-striped Palm Squirrel,Funambulus pennantii,1,3,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,196,no,1596253,Mediterranean hare,Lepus mediterraneus,1,3,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,197,no,40418,Canary Big-eared Bat,Plecotus teneriffae,1,3,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,198,no,46406,Apennine Shrew,Sorex samniticus,1,3,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
